family_name,familyName,kingdomName,phylumName,className,orderName
Limeaceae,LIMEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Limnanthaceae,LIMNANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Lonchitidaceae,LONCHITIDACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES
Lophiocarpaceae,LOPHIOCARPACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Lophopyxidaceae,LOPHOPYXIDACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Macarthuriaceae,MACARTHURIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Matoniaceae,MATONIACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,GLEICHENIALES
Maundiaceae,MAUNDIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Mayacaceae,MAYACACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Mazaceae,MAZACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Microteaceae,MICROTEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Misodendraceae,MISODENDRACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES
Mitrastemonaceae,MITRASTEMONACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Myrothamnaceae,MYROTHAMNACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GUNNERALES
Neuradaceae,NEURADACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES
Pentadiplandraceae,PENTADIPLANDRACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Pentaphragmataceae,PENTAPHRAGMATACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES
Petermanniaceae,PETERMANNIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Petrosaviaceae,PETROSAVIACEAE,PLANTAE,TRACHEOPHYTA,,
Philesiaceae,PHILESIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Philydraceae,PHILYDRACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,COMMELINALES
Rapateaceae,RAPATEACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Ripogonaceae,RIPOGONACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Roridulaceae,RORIDULACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Setchellanthaceae,SETCHELLANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Simmondsiaceae,SIMMONDSIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Stegnospermataceae,STEGNOSPERMATACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Stemonaceae,STEMONACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,PANDANALES
Tetracarpaeaceae,TETRACARPAEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Tetrachondraceae,TETRACHONDRACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Tiganophytaceae,TIGANOPHYTACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Tofieldiaceae,TOFIELDIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Tovariaceae,TOVARIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Welwitschiaceae,WELWITSCHIACEAE,PLANTAE,TRACHEOPHYTA,,
